PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39782668,Drug Development.,2024 Dec,N/A,N/A,N/A
39782598,Drug Development.,2024 Dec,N/A,N/A,N/A
39782564,Drug Development.,2024 Dec,N/A,N/A,N/A
39782516,Drug Development.,2024 Dec,N/A,N/A,N/A
39782456,Drug Development.,2024 Dec,N/A,N/A,N/A
39782303,Outcomes of Immunotherapy Treatment in Sinonasal Mucosal Melanoma.,2025 Jan 9,N/A,N/A,N/A
39782258,Dementia Care Research and Psychosocial Factors.,2024 Dec,N/A,N/A,N/A
39782221,Dementia Care Research and Psychosocial Factors.,2024 Dec,N/A,N/A,N/A
39781954,Dementia Care Practice.,2024 Dec,N/A,N/A,N/A
39781891,Thymidine Phosphodiester Chemiluminescent Probe for Sensitive and Selective Detection of Ectonucleotide Pyrophosphatase 1.,2025 Jan 9,N/A,N/A,N/A
39781768,Dementia Care Practice.,2024 Dec,N/A,N/A,N/A
39781758,Life after Pelvic Exenteration for Rectal Cancer: The Patient and Carer Perspective on Long Term Consequences and Survivorship.,2025 Jan 9,N/A,N/A,N/A
39781750,Treatment of anterior rim fractures of the distal radius with an anterior rim plate: A retrospective study.,2025 Jan 9,N/A,N/A,N/A
39781742,Cardiovascular Disease and Cancer: A Dangerous Liaison.,2025 Jan 9,N/A,N/A,N/A
39781736,Utilizing Plant Phytoconstituents in Metal Oxide Nanoparticle Synthesis for Cancer Therapies.,2025 Jan 7,N/A,N/A,N/A
39781734,"Marine-Derived Compound Targeting mTOR and FGFR-2: A Promising Strategy for Breast, Lung, and Colorectal Cancer Therapy.",2025 Jan 7,N/A,N/A,N/A
39781724,A Novel Prognostic Risk Model Based on Oxidative Stress to Predict Survival and Improve Treatment Strategies in Stomach Adenocarcinoma.,2025 Jan 7,N/A,N/A,N/A
39781719,HDAC6: Tumor Progression and Beyond.,2025 Jan 7,N/A,N/A,N/A
39781718,CRISPR/Cas System: A Powerful Strategy to Improve Monogenic Human Diseases as Therapeutic Delivery; Current Applications and Challenges.,2025 Jan 7,N/A,N/A,N/A
39781713,New Insights into the Modifications and Bioactivities of Indole-3-Carboxaldehyde and its Derivatives as a Potential Scaffold for Drug Design: A Mini-Review.,2025 Jan 7,N/A,N/A,N/A
39781684,Computer-Aided Detection (CADe) and Segmentation Methods for Breast Cancer Using Magnetic Resonance Imaging (MRI).,2025 Jan 9,N/A,N/A,N/A
39781615,Recipient sex and donor leukemic cell characteristics determine leukemogenesis in patient-derived models.,2025 Jan 9,N/A,N/A,N/A
39781580,Metabolic dysfunction-associated steatotic liver disease and cancer risk: A cohort study.,2025 Jan 9,N/A,N/A,N/A
39781576,Patient and Caregiver Perceptions of Caregiving Contributions During Cancer Clinical Trials: A Mixed-Methods Study.,2025 Jan,N/A,N/A,N/A
39781573,Prognostic factors in patients with localized and metastatic alveolar rhabdomyosarcoma. A report from two studies and two registries of the Cooperative Weichteilsarkom Studiengruppe CWS.,2025 Jan,N/A,N/A,N/A
39781572,Pretreatment Fatigue in Breast Cancer Patients: Comparison With Healthy Controls and Associations With Biopsychosocial Variables.,2025 Jan,N/A,N/A,N/A
39781570,Exploring vimentin's role in breast cancer via PICK1 alternative polyadenylation and the miR-615-3p-PICK1 interaction.,2025 Jan-Feb,N/A,N/A,N/A
39781540,Trends and disparities in cardiovascular disease-related mortality among adults with myeloproliferative neoplasms in USA.,2025 Jan,N/A,N/A,N/A
39781520,PUF60 Promotes Chemoresistance Through Drug Efflux and Reducing Apoptosis in Gastric Cancer.,2025,N/A,N/A,N/A
39781519,Short-term outcomes after robot-assisted versus open radical cystectomy for bladder cancer in patients with diabetes mellitus: an analysis of the United States Nationwide Inpatient Sample of 2005-2018.,2025,N/A,N/A,N/A
39781516,Long-read structural and epigenetic profiling of a kidney tumor-matched sample with nanopore sequencing and optical genome mapping.,2025 Mar,N/A,N/A,N/A
39781476,Cerebral white matter damage in patients with end-stage kidney disease associates with cognitive impairment.,2025 Jan,N/A,N/A,N/A
39781466,S6K1 is a Targetable Vulnerability in Tumors Exhibiting Plasticity and Therapy Resistance.,2025,N/A,N/A,N/A
39781456,Cold atmospheric plasma potentiates ferroptosis via EGFR(Y1068)-mediated dual axes on GPX4 among triple negative breast cancer cells.,2025,N/A,N/A,N/A
39781447,Smad2 Cooperating with TGIF2 Contributes to EMT and Cancer Stem Cells Properties in Pancreatic Cancer via Co-Targeting SOX2.,2025,N/A,N/A,N/A
39781381,Anti-Mesothelin CAR-NK cells as a novel targeted therapy against cervical cancer.,2024,N/A,N/A,N/A
39781376,A case of pityriasis rubra pilaris secondary to ponatinib.,2025,N/A,N/A,N/A
39781373,A Behavioral Analysis of Factors That Influence Antibiotic Prescribing in Hospitals: A Metasynthesis of Reviews.,2025 Jan,N/A,N/A,N/A
39781360,Elucidating the Role of Estrogen Effects in Leukemia: Insights from Single-Cell RNA Sequencing and Mendelian Randomization.,2025,N/A,N/A,N/A
39781359,Uncovering the Role of ALDH1A2 in Prostate Cancer: Insights from Genetic and Expression Analyses.,2025,N/A,N/A,N/A
39781357,Distinct roles of small extracellular vesicles from resident and infiltrating macrophages on glioma growth and mobility.,2025,N/A,N/A,N/A
39781354,Sensitivity of renal cell carcinoma to cuproptosis: a bioinformatics analysis and experimental verification.,2025,N/A,N/A,N/A
39781353,Single-cell analysis unveils cell subtypes of acral melanoma cells at the early and late differentiation stages.,2025,N/A,N/A,N/A
39781348,LncRNA GATA3-AS1 Promotes Bladder Uroepithelial Cancer Progression by Stabilizing DDX5.,2025,N/A,N/A,N/A
39781347,ADAMTS7 Enhances Gastric Cancer Growth and Metastasis by Triggering the NF-κB Signaling Pathway.,2025,N/A,N/A,N/A
39781346,Radiation Therapy Improves Survival in Patients with Distant Metastatic Head and Neck Squamous Cell Carcinoma: A Retrospective Study.,2025,N/A,N/A,N/A
39781344,HIF-1α Mediated Regulation of Glioblastoma Malignant Phenotypes through CD47 Protein: Understanding Functions and Mechanisms.,2025,N/A,N/A,N/A
39781343,Research Progress of DNA Methylation Markers for Endometrial Carcinoma Diagnosis.,2025,N/A,N/A,N/A
39781342,The Clinical Prediction Value of the Ubiquitination Model Reflecting the Microenvironment Infiltration and Drug Sensitivity in Breast Cancer.,2025,N/A,N/A,N/A
39781339,Unlocking the Hidden Potential of Cancer Therapy Targeting Lysine Succinylation.,2025,N/A,N/A,N/A
39781313,Colorectal Cancer and Its Microenvironment: A Brief Review.,2024,N/A,N/A,N/A
39781295,New advances in noninvasive screening technology for colorectal cancer.,2025 Jan,N/A,N/A,N/A
39781294,Chemical cross-linking facilitates antigen uptake and presentation and provides improved protection from Mpox with a dual-antigen subunit vaccine.,2025 Jan,N/A,N/A,N/A
39781268,Milk and dairy products - a scoping review for Nordic Nutrition Recommendations 2023.,2024,N/A,N/A,N/A
39781264,PRMT5-Mediated ALKBH5 Methylation Promotes Colorectal Cancer Immune Evasion via Increasing CD276 Expression.,2025,N/A,N/A,N/A
39781239,Navigating the landscape of neoadjuvant immunotherapy for NSCLC: progress and controversies.,2025,N/A,N/A,N/A
39781204,Unusual outcome of treatment of thymoma with immunotherapy: case report.,2024,N/A,N/A,N/A
39781199,Current immunotherapy for thymic epithelial tumors: a narrative review.,2024,N/A,N/A,N/A
39781195,Human collagen type I‑based scaffold retains human‑derived fibroblasts in a patient‑derived tumor xenograft mouse model.,2025 Feb,N/A,N/A,N/A
39781179,Comparing the Artificial Intelligence Detection Models to Standard Diagnostic Methods and Alternative Models in Identifying Alzheimer's Disease in At-Risk or Early Symptomatic Individuals: A Scoping Review.,2024 Dec,N/A,N/A,N/A
39781138,"Serum Insulin, Insulin-Like Growth Factor-1, Testosterone and Lipid Profile Levels in Benign Prostatic Hyperplasia and Prostate Cancer at Diagnosis.",2024 Dec,N/A,N/A,N/A
39781047,Innovative breast cancer detection using a segmentation-guided ensemble classification framework.,2025 Jan,N/A,N/A,N/A
39781046,Computer modelling and vegetable bench test of a bipolar electrode array intended for use in high frequency irreversible electroporation treatment of skin cancer.,2025 Jan,N/A,N/A,N/A
39781038,Prognostic significance of MRD and its correlation with arsenic concentration in pediatric acute promyelocytic leukemia: a retrospective study by SCCLG-APL group.,2025,N/A,N/A,N/A
39780987,A Rare Case with Recurrent Abdominal Pain as the First Symptom: AL Amyloidosis with Colon Involvement Combined with Pulmonary Adenocarcinoma.,2025,N/A,N/A,N/A
39780959,A Novel Cell-Penetrating Peptide-Vascular Endothelial Growth Factor Small Interfering Ribonucleic Acid Complex That Mediates the Inhibition of Angiogenesis by Human Umbilical Vein Endothelial Cells and in an Ex Vivo Mouse Aorta Ring Model.,2025,N/A,N/A,N/A
39780938,A Systematic Review Uncovering Modifiable Influences on Statin Adherence.,2025,N/A,N/A,N/A
39780905,Functional Endoscopic Sinus Surgery in Management of Pott's Puffy Tumor in a Pregnant Woman: A Clinical Case Report and Literature Review.,2025 Jan,N/A,N/A,N/A
39780902,"Novel Copy Number Deletion Involving NUS1 Associated With Epilepsy, Tremor, and Intellectual Disability.",2025 Jan,N/A,N/A,N/A
39780846,New naphthalene-linked pyrazoline-thiazole hybrids as prominent antilung and antibreast cancer inhibitors.,2024,N/A,N/A,N/A
39780819,Surgeon specialty and surveillance after resection for non-small cell lung cancer.,2024 Dec,N/A,N/A,N/A
39780816,Clinicopathologic and genomic features associated with brain metastasis after resection of lung adenocarcinoma.,2024 Dec,N/A,N/A,N/A
39780771,Unveiling structural components of dibenzofuran-based MMP-12 inhibitors: a comparative classification-dependent analysis with molecular docking-based virtual screening and molecular dynamics simulation.,2025,N/A,N/A,N/A
39780769,In-silico-based lead optimization of hit compounds targeting mitotic kinesin Eg5 for cancer management.,2025,N/A,N/A,N/A
39780768,The potential of GPT-4 advanced data analysis for radiomics-based machine learning models.,2025 Jan-Dec,N/A,N/A,N/A
39780760,"""Applications of Machine Learning in Liposomal Formulation and Development"".",2025 Jan 9,N/A,N/A,N/A
39780756,Cardiovascular toxicity induced by TKIs in patients with chronic myeloid leukaemia: Are women and men different?,2025 Jan 9,N/A,N/A,N/A
39780749,On-treatment dynamics of circulating extracellular vesicles in the first-line setting of patients with advanced non-small cell lung cancer: the LEXOVE prospective study.,2025 Jan 9,N/A,N/A,N/A
39780686,Parkinsonism and Bilateral Facial Palsy after Chimeric Antigen Receptor T-Cell Therapy.,2025 Jan 9,N/A,N/A,N/A
39780649,Modulation of Donor in Purely Organic Triplet Harvesting AIE-TADF Photosensitizer for Image-guided Photodynamic Therapy.,2025 Jan 9,N/A,N/A,N/A
39780629,Faster Acquisition and Improved Image Quality of T2-Weighted Dixon Breast MRI at 3T Using Deep Learning: A Prospective Study.,2025 Jan,N/A,N/A,N/A
39780628,Radiofrequency Ablation for Recurrent Thyroid Cancers: 2025 Korean Society of Thyroid Radiology Guideline.,2025 Jan,N/A,N/A,N/A
39780617,Examining Lung Cancer Screening Uptake in the United States: Recent Research and Limitations of Public-Use Data.,2025 Jan 9,N/A,N/A,N/A
39780615,The Role of Double-Zero-Event Studies in Evidence Synthesis: Evaluating Robustness Using the Fragility Index.,2025 Feb,N/A,N/A,N/A
39780606,"A simple, cost-efficient stability-indicating RP-HPLC method for simultaneous estimation of embelin and piperine for routine analysis of marketed polyherbal capsules and tablets.",2025 Jan 9,N/A,N/A,N/A
39780583,Decoding impact of human papillomavirus in gynecological oncology: a narrative review.,2025 Jan 9,N/A,N/A,N/A
39780527,Trends in cutaneous melanoma mortality and incidence in European Union 15+ countries between 1990 and 2019.,2025 Jan 8,N/A,N/A,N/A
39780503,"Introduction to androgenetics: terminology, approaches, and impactful studies across 60 years.",2025 Jan 8,N/A,N/A,N/A
39780472,"Cancer Incidence Among People With a Prior Hospital Record of Depression in Scotland, 1991-2019: A Cohort Study.",2025 Jan,N/A,N/A,N/A
39780471,Study on the Transformation Process of Thyroid Fine-Needle Aspiration Liquid-Based Cytology to Whole-Slide Image.,2025 Jan 8,N/A,N/A,N/A
39780463,Long non-coding RNA LINC01224 plays an oncogenic role in endometrial cancer via miR-4673/TPX2 axis and activating Wnt/β-catenin signaling pathway.,2025 Jan-Feb,N/A,N/A,N/A
39780462,Income and Insurance-Based Disparities in Primary Soft Tissue Sarcoma of the Extremities.,2025 Jan 8,N/A,N/A,N/A
39780451,Reducing Postoperative Opioid Use: A Comparison of Open Versus Ultrasound-Guided Regional Anesthesia for Patients Undergoing Open Pancreatoduodenectomy.,2025 Jan 8,N/A,N/A,N/A
39780444,Statistical methods to adjust for the effects on intervention compliance in randomized clinical trials where precision treatment rules are being developed.,2025 Mar,N/A,N/A,N/A
39780435,Feasible approaches for arsenic speciation analysis in foods for dietary exposure assessment: a review.,2025 Jan 8,N/A,N/A,N/A
39780416,Persistent Alopecic Plaque on the Scalp in a Woman with Breast Cancer: A Quiz.,2025 Jan 8,N/A,N/A,N/A
39780394,"Contribution of Travelers to Plasmodium Vivax Malaria in South West Delhi, India: Cross-Sectional Survey.",2025 Jan 8,N/A,N/A,N/A
39780386,Morphological Features Influence the Drug Loading and Delivery Efficacy of Photoactivatable Gold Nanocarriers for Antitumor Photo/Chemotherapy.,2025 Jan 8,N/A,N/A,N/A
39780377,Pediatric Hematology-Oncology or Pediatric Hematology and Pediatric Oncology: A Need for Further Discussion.,2025 Jan 8,N/A,N/A,N/A
39780367,FAP-Targeted SPECT/CT and PET/CT Imaging for Breast Cancer Patients.,2025 Jan 9,N/A,N/A,N/A
39780366,Prevention and Management of Infectious Complications in Pediatric Patients With Cancer: A Survey Assessment of Current Practices Across Children's Oncology Group Institutions.,2025 Jan 8,N/A,N/A,N/A
39780341,Glucose Metabolism Reprogramming of Immune Cells in the Microenvironment of Pancreatic and Hepatobiliary Cancers.,2025 Jan 8,N/A,N/A,N/A
39780329,Efficacy of metformin and verteporfin treatment alone or in combination in a murine head and neck cancer xenograft model.,2025 Jan 8,N/A,N/A,N/A
39780328,Ipsilateral Breast Carcinoma Recurrence: True Recurrence or New Primary? A Clinicopathologic and Molecular Study.,2025 Jan 9,N/A,N/A,N/A
39780309,Implementation of O-RADS Ultrasound Reporting System: A Quality Improvement Initiative.,2025 Jan 8,N/A,N/A,N/A
39780302,"Impact of Tacrolimus, Sirolimus, Age, and Body Mass Index on the Occurrence of Skin Cancer and Islet Dysfunction After Transplantation.",2025 Jan-Dec,N/A,N/A,N/A
39780291,MORF4L2 induces immunosuppressive microenvironment and immunotherapy resistance through GRHL2/MORF4L2/H4K12Ac/CSF1 axis in triple-negative breast cancer.,2025 Jan 9,N/A,N/A,N/A
39780278,The role of endothelial cell-related gene COL1A1 in prostate cancer diagnosis and immunotherapy: insights from machine learning and single-cell analysis.,2025 Jan 8,N/A,N/A,N/A
39780275,Breaking boundaries: role of the brain barriers in metastatic process.,2025 Jan 8,N/A,N/A,N/A
39780274,"Prevalence of Helicobacter pylori infection in the general population in Wuzhou, China: a cross-sectional study.",2025 Jan 8,N/A,N/A,N/A
39780269,Fecal microbiota transplantation attenuates Alzheimer's disease symptoms in APP/PS1 transgenic mice via inhibition of the TLR4-MyD88-NF-κB signaling pathway-mediated inflammation.,2025 Jan 8,N/A,N/A,N/A
39780248,Myeloid-derived suppressor cells (MDSCs) in the tumor microenvironment and their targeting in cancer therapy.,2025 Jan 8,N/A,N/A,N/A
39780232,Modulating tumor-associated macrophages through CSF1R inhibition: a potential therapeutic strategy for HNSCC.,2025 Jan 8,N/A,N/A,N/A
39780231,Pharmacological Vitamin C-induced high H(2)O(2) generation mediates apoptotic cell death by caspase 3/7 activation in breast cancer tumor spheroids.,2025 Jan 8,N/A,N/A,N/A
39780230,Deciphering the Coupling State-Dependent Transcription Termination in the Escherichia coli Galactose Operon.,2025 Jan,N/A,N/A,N/A
39780215,An integrative analysis reveals cancer risk associated with artificial sweeteners.,2025 Jan 8,N/A,N/A,N/A
39780207,Exploring the role of splicing in TP53 variant pathogenicity through predictions and minigene assays.,2025 Jan 8,N/A,N/A,N/A
39780201,CASP5 associated with PANoptosis promotes tumorigenesis and progression of clear cell renal cell carcinoma.,2025 Jan 8,N/A,N/A,N/A
39780198,Relationship between CTF1 gene expression and prognosis and tumor immune microenvironment in glioma.,2025 Jan 9,N/A,N/A,N/A
39780187,"Cancer-associated fibroblasts as therapeutic targets for cancer: advances, challenges, and future prospects.",2025 Jan 9,N/A,N/A,N/A
39780180,Staphylococcus aureus vesicles impair cutaneous wound healing through p38 MAPK-MerTK cleavage-mediated inhibition of macrophage efferocytosis.,2025 Jan 8,N/A,N/A,N/A
39780177,Intra-tumoral sphingobacterium multivorum promotes triple-negative breast cancer progression by suppressing tumor immunosurveillance.,2025 Jan 8,N/A,N/A,N/A
39780176,Inflammatory markers link triglyceride-glucose index and obesity indicators with adverse cardiovascular events in patients with hypertension: insights from three cohorts.,2025 Jan 8,N/A,N/A,N/A
39780166,Correction To: High tumor mutational burden assessed through next‑generation sequencing predicts favorable survival in microsatellite stable metastatic colon cancer patients.,2025 Jan 8,N/A,N/A,N/A
39780157,Potentially actionable molecular alterations in particular related to poor oncologic outcomes in salivary gland carcinomas.,2025 Jan 8,N/A,N/A,N/A
39780146,Investigation of the causal relationship between patient portal utilization and patient's self-care self-efficacy and satisfaction in care among patients with cancer.,2025 Jan 8,N/A,N/A,N/A
39780142,Development of a prognostic nomogram and risk stratification system for elderly patients with esophageal squamous cell carcinoma undergoing definitive radiotherapy: a multicenter retrospective analysis (3JECROG R-03 A).,2025 Jan 8,N/A,N/A,N/A
39780133,"Effect of different protocols in preventing demineralization in irradiated human enamel, in vitro study.",2025 Jan 8,N/A,N/A,N/A
39780132,Low L3 skeletal muscle index and endometrial cancer: a statistic pooling analysis.,2025 Jan 8,N/A,N/A,N/A
39780129,Astaxanthin-loaded PLGA nanoparticles inhibit survival of MKN-45 gastric cancer cell line by modulating JAK2/STAT3/mTOR/PI3K pathway.,2025 Jan 9,N/A,N/A,N/A
39780119,Carboplatin in combination with etoposide for advanced small cell lung cancer complicated with idiopathic interstitial pneumonia: a single-arm phase II study.,2025 Jan 8,N/A,N/A,N/A
39780118,Evaluation of One Step Nucleic Acid Amplification for detection of lymph node metastases compared to histopathological ultrastaging in women with endometrial cancer: a protocol for a diagnostic accuracy study.,2025 Jan 9,N/A,N/A,N/A
39780116,Correlation analysis of DLG5 and PD-L1 expression in triple-negative breast cancer.,2025 Jan 8,N/A,N/A,N/A
39780115,Development of a pandemic-related core set of quality indicators for quality and patient safety in University Hospitals in Germany.,2025 Jan 8,N/A,N/A,N/A
39780114,Association of remote work with tobacco and alcohol use: a cross-sectional study in Japan.,2025 Jan 9,N/A,N/A,N/A
39780112,Inverse association between obesity and suicidal death risk.,2025 Jan 8,N/A,N/A,N/A
39780104,Cross-cultural adaptation of the simple Chinese version of the medication adherence reasons scale in patients undergoing adjuvant endocrine therapy for breast cancer.,2025 Jan 8,N/A,N/A,N/A
39780102,Impact of irradiation conditions on therapy of Lewis lung carcinoma in mice using glucose-ethylenediamine carbon dots.,2025 Jan 8,N/A,N/A,N/A
39780100,Association between physical multimorbidity in middle adulthood and mortality: findings from two large cohort studies in Japan.,2025 Jan 8,N/A,N/A,N/A
39780096,Elevated miR-221-3p inhibits epithelial-mesenchymal transition and biochemical recurrence of prostate cancer via targeting KPNA2: an evidence-based and knowledge-guided strategy.,2025 Jan 8,N/A,N/A,N/A
39780086,Development and validation of a five-year cardiovascular risk assessment tool for Asian adults aged 75 years and older.,2025 Jan 8,N/A,N/A,N/A
39780085,Cardiovascular mortality risk among small bowel adenocarcinoma patients: a population-based study.,2025 Jan 8,N/A,N/A,N/A
39780079,"Synthesis, characterization, and evaluation of copper-doped zinc oxide nanoparticles anticancer effects: in vitro and in vivo experiments.",2025 Jan 8,N/A,N/A,N/A
39780077,Genomic characterization of Escherichia coli with a polyketide synthase (pks) island isolated from ulcerative colitis patients.,2025 Jan 8,N/A,N/A,N/A
39780076,Community knowledge of Australia's national preventive health strategy focus areas: a nationally representative survey of 1509 adults.,2025 Jan 8,N/A,N/A,N/A
39780067,"Postdiagnostic use of antihypertensive medications and survival in colorectal, lung, corpus uteri, melanoma and kidney cancer patients with hypertension.",2025 Jan 8,N/A,N/A,N/A
39780051,The microbiota-derived bile acid taurodeoxycholic acid improves hepatic cholesterol levels in mice with cancer cachexia.,2025 Dec,N/A,N/A,N/A
39780049,Acute kidney injury is associated with liver-related outcomes in patients with hepatitis B virus infection: a retrospective cohort study.,2025 Jan 8,N/A,N/A,N/A
39780045,Effective BCDNet-based breast cancer classification model using hybrid deep learning with VGG16-based optimal feature extraction.,2025 Jan 8,N/A,N/A,N/A
39780039,Global Prevalence of Mental Health Problems Among Cancer Survivors: A Meta-Analysis From 31 Countries.,2025 Jan,N/A,N/A,N/A
39780006,Reinventing type 2 immunity in cancer.,2025 Jan,N/A,N/A,N/A
39779999,A Systematic Review of Cancer-Related Trauma and Growth in Caregivers Across the Lifespan.,2025 Jan,N/A,N/A,N/A
39779979,A novel prognostic risk model for patients with refractory/relapsed acute myeloid leukemia receiving venetoclax plus hypomethylating agents.,2025 Jan 8,N/A,N/A,N/A
39779977,Multiomic quantification of the KRAS mutation dosage improves the preoperative prediction of survival and recurrence in patients with pancreatic ductal adenocarcinoma.,2025 Jan 8,N/A,N/A,N/A
39779964,Evaluation of clinical risk stratification to determine benefit from long-term versus short-term androgen deprivation in high-risk localized prostate cancer.,2025 Jan 8,N/A,N/A,N/A
39779958,Transcript-specific enrichment enables profiling of rare cell states via single-cell RNA sequencing.,2025 Jan 8,N/A,N/A,N/A
39779950,"Management, biomarkers and prognosis in people developing endocrinopathies associated with immune checkpoint inhibitors.",2025 Jan 9,N/A,N/A,N/A
39779939,Chromosome mis-segregation triggers cell cycle arrest through a mechanosensitive nuclear envelope checkpoint.,2025 Jan 8,N/A,N/A,N/A
39779930,T cell malignancies after CAR T cell therapy in the DESCAR-T registry.,2025 Jan 8,N/A,N/A,N/A
39779929,The TRIPOD-LLM reporting guideline for studies using large language models.,2025 Jan 8,N/A,N/A,N/A
39779897,Lymphatic collection and cell isolation from mouse models for multiomic profiling.,2025 Jan 8,N/A,N/A,N/A
39779878,Enterobactin inhibits microbiota-dependent activation of AhR to promote bacterial sepsis in mice.,2025 Jan 8,N/A,N/A,N/A
39779875,A hybrid machine learning approach for the personalized prognostication of aggressive skin cancers.,2025 Jan 8,N/A,N/A,N/A
39779852,A foundation model of transcription across human cell types.,2025 Jan 8,N/A,N/A,N/A
39779849,Bidirectional histone monoaminylation dynamics regulate neural rhythmicity.,2025 Jan 8,N/A,N/A,N/A
39779848,Saturation genome editing-based clinical classification of BRCA2 variants.,2025 Jan 8,N/A,N/A,N/A
39779846,Molecular and cellular dynamics of the developing human neocortex.,2025 Jan 8,N/A,N/A,N/A
39779840,Novel metabolic prognostic score for predicting survival in patients with cancer.,2025 Jan 8,N/A,N/A,N/A
39779797,Quality of life in early breast cancer patients after adjuvant accelerated partial-breast irradiation (APBI) in randomized trial.,2025 Jan 9,N/A,N/A,N/A
39779795,"Effects of time-of-day on the noradrenaline, adrenaline, cortisol and blood lipidome response to an ice bath.",2025 Jan 8,N/A,N/A,N/A
39779772,Boosting skin cancer diagnosis accuracy with ensemble approach.,2025 Jan 8,N/A,N/A,N/A
39779762,Artificial intelligence for body composition assessment focusing on sarcopenia.,2025 Jan 8,N/A,N/A,N/A
39779756,"Economic burden of breast cancer in India, 2000-2021 and forecast to 2030.",2025 Jan 8,N/A,N/A,N/A
39779747,Biochar filtration of drug-resistant bacteria and active pharmaceutical ingredients to combat antimicrobial resistance.,2025 Jan 8,N/A,N/A,N/A
39779746,Identifying ADME-related gene signature for immune landscape and prognosis in KIRC by single-cell and spatial transcriptome analysis.,2025 Jan 8,N/A,N/A,N/A
39779738,Microglia depletion reduces neurodegeneration and remodels extracellular matrix in a mouse Parkinson's disease model triggered by α-synuclein overexpression.,2025 Jan 9,N/A,N/A,N/A
39779736,"Identification and validation of a metabolic-related gene risk model predicting the prognosis of lung, colon, and breast cancers.",2025 Jan 8,N/A,N/A,N/A
39779727,Multimodal cell-free DNA whole-genome TAPS is sensitive and reveals specific cancer signals.,2025 Jan 8,N/A,N/A,N/A
39779715,PTMNavigator: interactive visualization of differentially regulated post-translational modifications in cellular signaling pathways.,2025 Jan 8,N/A,N/A,N/A
39779702,Dynamic transitions of initiator binding coordinate the replication of the two chromosomes in Vibrio cholerae.,2025 Jan 8,N/A,N/A,N/A
39779698,KLF5 loss sensitizes cells to ATR inhibition and is synthetic lethal with ARID1A deficiency.,2025 Jan 8,N/A,N/A,N/A
39779693,Pan-inhibition of super-enhancer-driven oncogenic transcription by next-generation synthetic ecteinascidins yields potent anti-cancer activity.,2025 Jan 8,N/A,N/A,N/A
39779677,Reconstitution of human DNA licensing and the structural and functional analysis of key intermediates.,2025 Jan 8,N/A,N/A,N/A
39779672,YAP-driven malignant reprogramming of oral epithelial stem cells at single cell resolution.,2025 Jan 8,N/A,N/A,N/A
39779669,"Diet-wide analyses for risk of colorectal cancer: prospective study of 12,251 incident cases among 542,778 women in the UK.",2025 Jan 8,N/A,N/A,N/A
39779668,Bright and stable anti-counterfeiting devices with independent stochastic processes covering multiple length scales.,2025 Jan 8,N/A,N/A,N/A
39779654,"Prognostic significance of neutrophil-to-lymphocyte ratio, platelet-to-lymphocyte ratio, and monocyte-to-lymphocyte ratio in uterine carcinosarcoma.",2025 Jan 8,N/A,N/A,N/A
39779647,"Eligibility for and reach of the National Breast and Cervical Cancer Early Detection Program, 2018-2021.",2025 Jan 8,N/A,N/A,N/A
39779643,Pilot Testing Digital Stories to Influence College Men's Intentions to Vaccinate Against HPV.,2025 Jan 9,N/A,N/A,N/A
39779616,Cardiotoxicity as important differential diagnosis for reduced myocardial blood flow during Rubidium cardiac PET/CT : Cardiotoxicity in Rubidium PET/CT.,2025 Jan 8,N/A,N/A,N/A
39779613,Targeting protein synthesis pathways in MYC-amplified medulloblastoma.,2025 Jan 8,N/A,N/A,N/A
39779609,Advancements in Passive Wireless Sensing Systems in Monitoring Harsh Environment and Healthcare Applications.,2025 Jan 9,N/A,N/A,N/A
39779595,Overall survival and progression-free survival in pediatric meningiomas: a systematic review and individual patient-level meta-analysis.,2025 Jan 9,N/A,N/A,N/A
39779593,Modeling and the Use of Surrogate Endpoints: Is This a Valid Approach?,2025 Jan 8,N/A,N/A,N/A
39779586,From Endoscopic Inspection to Gene-Expression: A Thorough Assessment of the Duodenal Mucosa After Resurfacing-A Prospective Study.,2025 Jan 8,N/A,N/A,N/A
39779579,Identification of a Novel Immune-Gene Signature with Prognostic Value in Patients with Head and Neck Cancer: A Pilot Study.,2025 Jan 8,N/A,N/A,N/A
39779576,"Extraction, Isolation and Purification of Catechins and their Applications.",2025 Jan 6,N/A,N/A,N/A
39779573,Clinical Application of PARP1 Inhibitors and Challenges in Cancer Therapy.,2025 Jan 6,N/A,N/A,N/A
39779570,"Anti-metastasis Effects and Mechanism of Action of Curcumin Analog (2E,6E)-2,6-bis(2,3-dimethoxybenzylidene) Cyclohexanone (DMCH) on the SW620 Colorectal Cancer Cell Line.",2025 Jan 6,N/A,N/A,N/A
39779567,Mechanistic Insights into the Role of MCP-1 in Diverse Liver Pathological Conditions: A Recent Update.,2025 Jan 6,N/A,N/A,N/A
